address,categories,city,hours,images,name,phone,popular_items,state,website,yelp_url,zipcode
1965 Al Scoma Way,,San Francisco,,,Scoma's Restaurant,,,CA,scomas.com,https://www.yelp.com/biz/scomas-restaurant-san-francisco-3?osq=Restaurants,94133
4101 Judah St,,San Francisco,,,Thanh Long,,,CA,thanhlongsf.com,https://www.yelp.com/biz/thanh-long-san-francisco?osq=Restaurants,94122
525 Laguna St,,San Francisco,,,Suppenküche,,,CA,suppenkuche.com,https://www.yelp.com/biz/suppenk%C3%BCche-san-francisco-2?osq=Restaurants,94102
2170 Mission St,,San Francisco,,,Above Ground,,,CA,,https://www.yelp.com/biz/above-ground-san-francisco?osq=Restaurants,94110
60 Morris St,,San Francisco,,,MoonBowls,,,CA,moonbowls.com/locations,https://www.yelp.com/biz/moonbowls-san-francisco?osq=Restaurants,94107
11 Glenwood Ave,,Daly City,,,Original Joe's Westlake,,,CA,originaljoes.com,https://www.yelp.com/biz/original-joes-westlake-daly-city-5?osq=Restaurants,94015
200 Jackson St,,San Francisco,,,Kokkari Estiatorio,,,CA,kokkari.com,https://www.yelp.com/biz/kokkari-estiatorio-san-francisco?osq=Restaurants,94111
3251 20th Ave,,San Francisco,,,Marugame Udon,,,CA,,https://www.yelp.com/biz/marugame-udon-san-francisco-4?osq=Restaurants,94132
60 Morris St,,San Francisco,,,Mama Liang's,,,CA,Full menu,https://www.yelp.com/biz/mama-liangs-san-francisco-2?osq=Restaurants,94107
645 Clay St,,San Francisco,,,Kingbob,,,CA,,https://www.yelp.com/biz/kingbob-san-francisco?osq=Restaurants,94111
115 New Montgomery St,,San Francisco,,,The Bird,,,CA,Full menu,https://www.yelp.com/biz/the-bird-san-francisco?osq=Restaurants,94105
1555 Mission St,,San Francisco,,,Zaoh Restaurant,,,CA,,https://www.yelp.com/biz/zaoh-restaurant-san-francisco,94103
800 N Point St,,San Francisco,,,Gary Danko,,,CA,garydanko.com,https://www.yelp.com/biz/gary-danko-san-francisco?osq=Restaurants,94109
1620 Post St,,San Francisco,,,Daeho Kalbijjim & Beef Soup,,,CA,daeho-korean-bbq-beef-soup.bus…,https://www.yelp.com/biz/daeho-kalbijjim-and-beef-soup-san-francisco-9?osq=Restaurants,94115
700 Polk St,,San Francisco,,,Son & Garden,,,CA,Full menu,https://www.yelp.com/biz/son-and-garden-san-francisco?osq=Restaurants,94109
2240 Chestnut St,,San Francisco,,,Cracked & Battered - Marina,,,CA,,https://www.yelp.com/biz/cracked-and-battered-marina-san-francisco?osq=Restaurants,94123
1031 Irving St,,San Francisco,,,San Tung,,,CA,santung.net,https://www.yelp.com/biz/san-tung-san-francisco-2?osq=Restaurants,94122
1935 Taraval St,,San Francisco,,,Dumpling Kitchen,,,CA,,https://www.yelp.com/biz/dumpling-kitchen-san-francisco?osq=Restaurants,94116
The Embarcadero,,San Francisco,,,Coqueta,,,CA,coquetasf.com,https://www.yelp.com/biz/coqueta-san-francisco?osq=Restaurants,94111
2516 Mission St,,San Francisco,,,El Techo,,,CA,Full menu,https://www.yelp.com/biz/el-techo-san-francisco?osq=Restaurants,94110
710 Florida St,,San Francisco,,,Farmhouse Kitchen Thai Cuisine,,,CA,farmhousethai.com,https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?osq=Restaurants,94110
496 Beach St,,San Francisco,,,The Codmother Fish & Chips,,,CA,codmother.com,https://www.yelp.com/biz/the-codmother-fish-and-chips-san-francisco-3?osq=Restaurants,94133
649 Jackson St,,San Francisco,,,Great Eastern Restaurant,,,CA,greateasternsf.com,https://www.yelp.com/biz/great-eastern-restaurant-san-francisco,94133
17th street & Carolina street,,San Francisco,,,El Fuego,,,CA,,https://www.yelp.com/biz/el-fuego-san-francisco-3?osq=Restaurants,94103
1 Ferry Bldg,,San Francisco,,,Hog Island Oyster Co,,,CA,hogislandoysters.com,https://www.yelp.com/biz/hog-island-oyster-co-san-francisco?osq=Restaurants,94111
600 S Van Ness Ave,,San Francisco,,,Dabao Singapore,,,CA,,https://www.yelp.com/biz/dabao-singapore-san-francisco?osq=Restaurants,94110
600 5th Ave,,San Francisco,,,Smokin Woods BBQ - San Francisco,,,CA,,https://www.yelp.com/biz/smokin-woods-bbq-san-francisco-san-francisco?osq=Restaurants,94118
1760 Cesar Chavez St,,San Francisco,,,Chicken as Cluck,,,CA,Full menu,https://www.yelp.com/biz/chicken-as-cluck-san-francisco?osq=Restaurants,94124
679 3rd St,,San Francisco,,,Alchemist Bar & Lounge,,,CA,Full menu,https://www.yelp.com/biz/alchemist-bar-and-lounge-san-francisco?osq=Restaurants,94107
2200 Market St,,San Francisco,,,The Detour,,,CA,detoursf.com,https://www.yelp.com/biz/the-detour-san-francisco?osq=Restaurants,94114
The Embarcadero,,San Francisco,,,Fog Harbor Fish House,,,CA,fogharbor.com,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?osq=Restaurants,94133
309 Clement St,,San Francisco,,,Burma Superstar,,,CA,burmasuperstar.com,https://www.yelp.com/biz/burma-superstar-san-francisco-2?osq=Restaurants,94118
25 Mason St,,San Francisco,,,Diya,,,CA,,https://www.yelp.com/biz/diya-san-francisco,94102
